time,1,AEX,AS51,ATX,BFX,DJIA,FCHI,FTSE,GDAXI,HSI,JKSE,KLSE,KS11,MIB#0Ò²È¥µô,MXX,N225,NZ50,OSEAX,PSI,RTS,SENSEX,SSMI,STI,TWII
2003-08-04,1.1774,-0.9976438,-0.3630273,-0.173451,-0.1529588,0.3503432,-0.8717069,0.04148437,-0.9764731,-0.638721,-0.9357204,0.02903903,-1.199025,-0.6462985,0.328124,-1.652989,0.07274979,-0.4294925,-3.004137,0.5796462,0.4505516,-1.086263,-1.226894,-0.2470977
2003-08-05,-0.0033,0.8504473,0.271661,0.4066788,0.701028,-1.629861,1.451627,0.5097412,0.9705445,-0.05656179,-3.057904,-0.1396507,0.4592714,0.3351074,-0.9664464,-0.7427433,0.8090159,0.2588091,1.649155,0.6545737,-1.739855,1.12425,-2.174889,-2.189615
2003-08-06,-0.5394,-1.829753,-0.1243036,-0.649864,-1.134318,0.2813083,-1.928097,-1.22786,-1.823549,-1.865312,1.209752,-0.4596884,-1.93395,-1.041257,-0.5964208,-0.6253069,0.1704368,-0.595717,-1.119094,1.764801,-0.6415642,-0.9571806,0.1164092,-0.6392325
2003-08-07,0.0754,0.26256,0.1627604,0.424412,0.6095188,0.7141008,0.1410731,0.6191086,-1.296636,-0.2952703,2.797101,0.1224082,0.272644,0.06948581,1.031803,-0.6258167,-0.09584965,-0.08655588,0.2432953,0.01620915,1.741745,-0.2461044,1.646671,0.6360663
2003-08-08,-1.0824,0.9828355,0.3440962,-0.02044167,0.3222171,0.7082672,1.115773,1.274531,0.01050748,-0.1288413,-0.5725311,0.3362153,-0.7988029,0.6745362,0.1645525,0.6688285,1.0902,1.859376,2.123007,0.3472463,2.02084,0.3851207,0.04364295,-0.504272
2003-08-11,0.2134,0.2849317,-0.1143028,-0.2060583,0.3113112,0.2857089,0.7212178,0.6967643,0.2202749,1.491373,-0.1028948,0.6397024,0.06248792,0.7488422,0.545741,1.718242,0.2170521,-0.4383657,0.4152874,2.189307,0.248468,-0.03397197,1.184397,-0.3430394
2003-08-12,0.3303,0.6767958,-0.09219106,0.4782402,0.4898723,1.00582,0.624464,0.2130845,1.261532,0.8978999,0.3129738,-0.3604687,-0.4655297,0.5867971,0.0237881,0.8116715,-0.1644802,0.6505918,0.8021045,0.975259,-0.1027377,0.9314431,0.6538436,0.7793529
2003-08-13,-0.9092,-0.03170205,0.483636,0.1019896,-0.2970922,-0.4113809,-0.005296437,-0.1170657,0.508025,1.151786,0.949804,0.002755899,1.679742,0.1458435,0.1433715,1.964916,0.6408331,0.1828146,1.167529,1.359324,0.9425635,-0.380232,1.882618,3.55892
2003-08-14,-0.6774,1.519374,-0.2438237,0.2701874,0.9999556,0.4184729,1.672035,1.365791,1.583166,0.7042665,-0.2151685,0.4459967,1.953496,1.242718,0.7167985,1.647943,-0.5767722,-0.04562521,0.1425781,0.9705366,-0.1240456,0.8150445,0.5809099,-0.1014286
2003-08-19,0.3197,0.5171754,0.1516843,1.195809,1.222531,0.1747706,0.2914159,-0.4985907,-0.07698244,-0.1496431,0.07741476,0.4431673,1.373788,0.07616146,-0.1658657,1.406661,0.3902395,0.04504396,0.6751885,0.2653155,0.7335825,0.363825,-0.4372211,-0.08410036
2003-08-20,-0.5553,-0.217442,0.06941441,0.2004167,-1.048059,-0.3329193,-0.9170225,-0.7857322,-0.09416523,-0.3231423,0.3345985,0.02321949,-0.3958754,-0.618341,-0.3662059,1.159414,-0.9424881,-0.9132408,-1.121752,-1.323061,1.240112,-0.626663,-0.1478486,0.5705514
