time,SH,DJIA,FCHI,FTSE,HSI,N225,SSMI,STI,TWII
2019/3/25,-1.96888,0.05689586,-0.1760897,-0.4163634,-2.026595,-3.006521,-0.1493647,-0.9084454,-1.500036
2019/3/26,-1.509549,0.5521861,0.8884802,0.2606723,0.1527189,2.151303,0.9005406,0.5454145,0.7607221
2019/3/27,0.854962,-0.1252668,-0.1156813,-0.02918306,0.5647787,-0.2317494,0.01373946,-0.05906161,-0.1562618
2019/3/28,-0.9189038,0.3585131,-0.08866218,0.5579522,0.1634661,-1.613616,0.1633534,0.1622749,-0.06108899
2019/3/29,3.199224,0.8213049,1.01934,0.620097,0.9596748,0.8179744,0.7645194,0.2902941,0.9944732
2019/4/1,2.575518,1.27172,1.027936,0.5246455,1.757784,1.429885,0.5714399,1.171227,0.01494068
2019/4/2,0.2037919,-0.3019567,0.3318903,1.007741,0.2119287,-0.01728925,-0.02622744,0.9004747,0.4479149
2019/4/8,-0.05424142,-0.31777,-0.08072039,0.06741113,0.4704322,-0.210247,0.06476879,-0.2172962,0.8986081
2019/4/10,0.06994151,0.02516226,0.2475887,-0.04928467,-0.125772,-0.5275499,0,0.06163714,0.1524203
2019/4/11,-1.602997,-0.05394078,0.6576353,-0.05335501,-0.929998,0.1097889,0.08499368,0.09526742,-0.5462767
2019/4/12,-0.04187943,1.02991,0.3095306,0.2576165,0.2356295,0.7331624,-0.6738701,0.03482362,-0.03210103
2019/4/15,-0.3399306,-0.1042365,0.1095787,-0.002553985,-0.3311262,1.365072,0.3036381,-0.1836708,0.6506048
2019/4/16,2.385656,0.2573099,0.3619699,0.4444048,1.070583,0.2370451,0.6952035,0.1858145,0.4804333
2019/4/23,-0.5116255,0.5482236,0.2026754,0.8470638,-6.52E-05,0.1883159,0.6671102,-0.1259785,0.3455654
2019/4/24,0.09441712,-0.2226102,-0.2795198,-0.682166,-0.5253443,-0.268378,0.2137982,0.2671848,0.01777633
2019/4/26,-1.198146,0.3070431,0.2103389,-0.07990097,0.1868337,-0.2189821,0.3116337,0.1990855,-0.7915918
2019/5/7,0.6855678,-1.790536,-1.600615,-1.628178,0.5244785,-1.505071,-0.826948,0.6655251,0.8260855
2019/5/8,-1.115155,0.008627871,0.4047601,0.145029,-1.22542,-1.464764,0.4654726,-0.865804,-0.5773085
2019/5/10,3.095705,0.4414131,0.2687626,-0.05716502,0.844793,-0.2673142,0.450996,0.1162201,-0.1926619
2019/5/14,-0.6923131,0.8176135,1.496992,1.087708,-1.499885,-0.5853768,0.4368216,-0.3268136,-0.3697572
2019/5/15,1.909685,0.4542085,0.6161301,0.7643352,0.5216247,0.5759185,0.8153874,-0.1532378,0.3941342
2019/5/16,0.579613,0.8369463,1.374145,0.7751125,0.02249616,-0.5926787,1.89679,0.3569683,-0.8152824
2019/5/21,1.231936,0.7688102,0.5014401,0.2467561,-0.4691629,-0.1374595,0.4391539,-0.6925668,0.6355764
2019/5/23,-1.355229,-1.110071,-1.814654,-1.406425,-1.583807,-0.6212763,-0.5259747,-0.7043335,-1.423415
2019/5/24,0.01679234,0.3735465,0.665351,0.6456878,0.3183277,-0.1603692,0.7564909,0.2901213,0.1931455
2019/5/28,0.6061442,-0.9298945,-0.4403891,-0.1206391,0.3764305,0.3661525,-0.3303817,-0.171881,-0.211148
2019/5/29,0.164477,-0.8732893,-1.704783,-1.150791,-0.5662469,-1.20776,-1.434792,-0.06444969,-0.1021042
2019/5/31,-0.2446443,-1.409787,-0.7864542,-0.7820579,-0.7884638,-1.629888,-0.1885277,-0.8030541,1.112396
2019/6/11,2.580043,-0.05436863,0.4821216,0.3106234,0.7639942,0.3305479,0.7485797,0.6734388,0.3907647
2019/6/13,0.04678263,0.392002,0.01320877,0.01289028,-0.0503507,-0.4624799,0.08623051,0.4027734,-0.5148091
2019/6/14,-0.9882665,-0.06573068,-0.1490014,-0.3092871,-0.6461374,0.403626,-0.1165643,0.06116668,-0.3440944
2019/6/17,0.195975,0.08785076,0.4346447,0.1569646,0.4012432,0.03366677,0.002031553,-0.454284,0.05577483
2019/6/18,0.08781927,1.351879,2.203318,1.165235,0.9975678,-0.7161952,1.017807,0.9582321,0.3437639
2019/6/19,0.956489,0.1453246,0.1582694,-0.5306971,2.557827,1.722039,0.007033746,1.526523,1.974115
2019/6/20,2.375621,0.9401219,0.3102253,0.2822961,1.234974,0.6046265,0.1556928,0.8010561,0.08974122
2019/6/21,0.4975384,-0.1272338,-0.1307859,-0.2281646,-0.2687131,-0.9514983,-0.2557417,0.2078706,0.173943
2019/6/24,0.2054308,0.03146885,-0.119749,0.1240627,0.1379836,0.1286517,-0.4223015,-0.29716,-0.2251005
2019/6/25,-0.8667786,-0.6709123,-0.1293103,0.07739618,-1.146914,-0.4330533,-0.1110718,-0.2192343,-0.6747141
2019/6/26,-0.1941615,-0.0429422,-0.2511458,-0.08137549,0.1277231,-0.5059057,-0.4144554,-0.09139748,-0.5059432
2019/6/27,0.6890821,-0.03858878,-0.1292622,-0.1895809,1.415349,1.193081,0.03045222,0.828477,1.139169
2019/6/28,-0.5977746,0.2766314,0.825693,0.3147631,-0.275321,-0.2917307,0.4363489,-0.2099979,-0.3997653
2019/7/2,-0.03153484,0.2591941,0.1600182,0.8228068,1.166471,0.1118217,0.4460482,-0.04329325,-0.2784632
2019/7/3,-0.942165,0.6694384,0.7529423,0.6631647,-0.07071697,-0.5337315,0.5238998,-0.08899964,-1.116882
2019/7/5,0.1933304,-0.1627266,-0.4805384,-0.663371,-0.07271712,0.2024271,-0.8569106,-0.1613149,0.0912228
2019/7/8,-2.580324,-0.4307927,-0.08098856,-0.05123852,-1.540029,-0.9750186,0.1390739,-0.9676839,-0.3199667
2019/7/9,-0.1750221,-0.08449702,-0.305766,-0.1695502,-0.7603152,0.1430309,-0.3277911,-0.1430621,-0.4505484
2019/7/10,-0.4414614,0.286404,-0.08094352,-0.07669736,0.3144447,-0.1468569,-0.2387256,0.3291813,0.894162
2019/7/11,0.084314,0.848396,-0.2809052,-0.2771342,0.8052254,0.5110592,-0.5839391,0.3002625,0.4161646
2019/7/12,0.4382091,0.9005777,0.3766184,-0.05126101,0.1400487,0.195768,-1.17971,0.2056481,-0.1758699
2019/7/16,-0.1552959,-0.08600153,0.6484145,0.6038458,0.2267153,-0.6946928,0.4275793,0.3608201,0.08844922
2019/7/17,-0.2016626,-0.4235543,-0.7600113,-0.5508662,-0.09241639,-0.3068008,0.9287859,0.1440489,-0.5288359
2019/7/18,-1.040896,0.01146624,-0.3797785,-0.5622765,-0.4599342,-1.969984,0.6853808,-0.113528,-0.2696611
2019/7/19,0.7936066,-0.252623,0.03224976,0.20833,1.067191,1.999169,-0.7304597,0.503114,0.6843989
2019/7/22,-1.273026,0.0651876,0.2643962,0.08297016,-1.37019,-0.2338529,-0.1475306,-0.6139798,0.6561077
2019/7/23,0.4492583,0.6524721,0.9186268,0.5579518,0.3356238,0.9529524,0.4311498,0.4739014,0.02493933
2019/7/24,0.804602,-0.2896567,-0.2187556,-0.7331074,0.2021978,0.4102028,-0.588555,-0.1390383,-0.1050491
2019/7/25,0.4817541,-0.473012,-0.4962711,-0.1654366,0.2463246,0.2164044,-0.2974787,0.3805937,0.05166893
2019/7/26,0.2444681,0.1896348,0.5736772,0.8013067,-0.6874116,-0.4522794,0.9218338,-0.5175585,-0.4517671
2019/7/29,-0.1200165,0.1062809,-0.1595299,1.822079,-1.025892,-0.1909194,0.02798973,-0.5163899,-0.05738167
2019/7/31,-0.671773,-1.227111,0.1420791,-0.7845173,-1.31011,-0.8649803,0.2706043,-1.48603,-0.06546843
2019/8/2,-1.407098,-0.3701937,-3.570191,-2.344273,-2.347552,-2.106821,-1.165198,-0.9308086,-1.702518
2019/8/5,-1.615915,-2.896996,-2.191644,-2.47345,-2.850298,-1.739784,-2.083509,-2.042252,-1.190913
2019/8/6,-1.557337,1.212312,-0.1316386,-0.7220548,-0.6694885,-0.6514316,-0.4745053,-0.7525423,-0.2749595
2019/8/7,-0.3195608,-0.08624523,0.6086341,0.3766233,0.08003107,-0.333976,-0.2082862,0.448513,-0.08244848
2019/8/8,0.9344907,1.426993,2.306085,1.211326,0.4759784,0.3742784,2.282041,-0.4945536,1.042833
